1964, 9,23,20
1964,11, 3,25
1964,11,23,26
1965, 1, 1, 0
1965, 1,15, 1
1965, 3,21, 4
1965, 4,29, 5
1965, 5, 3, 8
1965, 5, 5,10
1965, 9,23,20
1965,11, 3,25
1965,11,23,26
1966, 1, 1, 0
1966, 1,15, 1
1966, 3,21, 4
1966, 4,29, 5
1966, 5, 3, 8
1966, 5, 5,10
1966, 9,15,18
1966, 9,23,20
1966,10,10,21
1966,11, 3,25
1966,11,23,26
1967, 1, 1, 0
1967, 1,15, 1
1967, 2,11, 3
1967, 3,21, 4
1967, 4,29, 5
1967, 5, 3, 8
1967, 5, 5,10
1967, 9,15,18
1967, 9,24,20
1967,10,10,21
1967,11, 3,25
1967,11,23,26
1968, 1, 1, 0
1968, 1,15, 1
1968, 2,11, 3
1968, 3,20, 4
1968, 4,29, 5
1968, 5, 3, 8
1968, 5, 5,10
1968, 9,15,18
1968, 9,23,20
1968,10,10,21
1968,11, 3,25
1968,11,23,26
1969, 1, 1, 0
1969, 1,15, 1
1969, 2,11, 3
1969, 3,21, 4
1969, 4,29, 5
1969, 5, 3, 8
1969, 5, 5,10
1969, 9,15,18
1969, 9,23,20
1969,10,10,21
1969,11, 3,25
1969,11,23,26
1970, 1, 1, 0
1970, 1,15, 1
1970, 2,11, 3
1970, 3,21, 4
1970, 4,29, 5
1970, 5, 3, 8
1970, 5, 5,10
1970, 9,15,18
1970, 9,23,20
1970,10,10,21
1970,11, 3,25
1970,11,23,26
1971, 1, 1, 0
1971, 1,15, 1
1971, 2,11, 3
1971, 3,21, 4
1971, 4,29, 5
1971, 5, 3, 8
1971, 5, 5,10
1971, 9,15,18
1971, 9,24,20
1971,10,10,21
1971,11, 3,25
1971,11,23,26
1972, 1, 1, 0
1972, 1,15, 1
1972, 2,11, 3
1972, 3,20, 4
1972, 4,29, 5
1972, 5, 3, 8
1972, 5, 5,10
1972, 9,15,18
1972, 9,23,20
1972,10,10,21
1972,11, 3,25
1972,11,23,26
1973, 1, 1, 0
1973, 1,15, 1
1973, 2,11, 3
1973, 3,21, 4
1973, 4,29, 5
1973, 4,30,90
1973, 5, 3, 8
1973, 5, 5,10
1973, 9,15,18
1973, 9,23,20
1973, 9,24,90
1973,10,10,21
1973,11, 3,25
1973,11,23,26
1974, 1, 1, 0
1974, 1,15, 1
1974, 2,11, 3
1974, 3,21, 4
1974, 4,29, 5
1974, 5, 3, 8
1974, 5, 5,10
