1900, 6,15,2415185.125,5,55,17.50752315
1900, 6,16,2415186.125,6,56,18.50752315
1900, 6,17,2415187.125,0,57,19.50752315
1900, 6,18,2415188.125,1,58,20.50752315
1900, 6,19,2415189.125,2,59,21.50752315
1900, 6,20,2415190.125,3, 0,22.50752315
1900, 6,21,2415191.125,4, 1,23.50752315
1900, 6,22,2415192.125,5, 2,24.50752315
1900, 6,23,2415193.125,6, 3,25.50752315
1900, 6,24,2415194.125,0, 4,26.50752315
1900, 6,25,2415195.125,1, 5,27.50752315
1900, 6,26,2415196.125,2, 6,28.50752315
1900, 6,27,2415197.125,3, 7, 0.06475694
1900, 6,28,2415198.125,4, 8, 1.06475694
1900, 6,29,2415199.125,5, 9, 2.06475694
1900, 6,30,2415200.125,6,10, 3.06475694
1900, 7, 1,2415201.125,0,11, 4.06475694
1900, 7, 2,2415202.125,1,12, 5.06475694
1900, 7, 3,2415203.125,2,13, 6.06475694
1900, 7, 4,2415204.125,3,14, 7.06475694
1900, 7, 5,2415205.125,4,15, 8.06475694
1900, 7, 6,2415206.125,5,16, 9.06475694
1900, 7, 7,2415207.125,6,17,10.06475694
1900, 7, 8,2415208.125,0,18,11.06475694
1900, 7, 9,2415209.125,1,19,12.06475694
1900, 7,10,2415210.125,2,20,13.06475694
1900, 7,11,2415211.125,3,21,14.06475694
1900, 7,12,2415212.125,4,22,15.06475694
1900, 7,13,2415213.125,5,23,16.06475694
1900, 7,14,2415214.125,6,24,17.06475694
1900, 7,15,2415215.125,0,25,18.06475694
1900, 7,16,2415216.125,1,26,19.06475694
1900, 7,17,2415217.125,2,27,20.06475694
1900, 7,18,2415218.125,3,28,21.06475694
1900, 7,19,2415219.125,4,29,22.06475694
1900, 7,20,2415220.125,5,30,23.06475694
1900, 7,21,2415221.125,6,31,24.06475694
1900, 7,22,2415222.125,0,32,25.06475694
1900, 7,23,2415223.125,1,33,26.06475694
1900, 7,24,2415224.125,2,34,27.06475694
1900, 7,25,2415225.125,3,35,28.06475694
1900, 7,26,2415226.125,4,36,29.06475694
1900, 7,27,2415227.125,5,37, 0.55401620
1900, 7,28,2415228.125,6,38, 1.55401620
1900, 7,29,2415229.125,0,39, 2.55401620
1900, 7,30,2415230.125,1,40, 3.55401620
1900, 7,31,2415231.125,2,41, 4.55401620
1900, 8, 1,2415232.125,3,42, 5.55401620
1900, 8, 2,2415233.125,4,43, 6.55401620
1900, 8, 3,2415234.125,5,44, 7.55401620
1900, 8, 4,2415235.125,6,45, 8.55401620
1900, 8, 5,2415236.125,0,46, 9.55401620
1900, 8, 6,2415237.125,1,47,10.55401620
1900, 8, 7,2415238.125,2,48,11.55401620
1900, 8, 8,2415239.125,3,49,12.55401620
1900, 8, 9,2415240.125,4,50,13.55401620
1900, 8,10,2415241.125,5,51,14.55401620
1900, 8,11,2415242.125,6,52,15.55401620
1900, 8,12,2415243.125,0,53,16.55401620
1900, 8,13,2415244.125,1,54,17.55401620
1900, 8,14,2415245.125,2,55,18.55401620
1900, 8,15,2415246.125,3,56,19.55401620
1900, 8,16,2415247.125,4,57,20.55401620
1900, 8,17,2415248.125,5,58,21.55401620
